vrai_hop;rdrg;SI;N;moy_gemid
0;562;4;3;161.81
0;563;1;5497;0.06
0;563;2;1013;0.11
0;563;3;208;0
0;563;4;3;0
0;564;1;711;1.02
0;564;2;149;0
0;564;3;11;0
0;564;4;1;0
0;565;1;968;0
0;565;2;74;0
0;565;3;12;0
0;565;4;1;0
0;566;1;3885;0.25
0;566;2;3279;0.95
0;566;3;572;0.53
0;566;4;9;185.9
0;583;2;1;0
0;590;1;2;0
0;590;3;1;56.82
0;590;4;8;141.71
0;591;1;6;0
0;591;2;8;0
0;591;3;10;2.46
0;591;4;19;8.43
0;592;1;1;151.22
0;592;4;17;200.44
0;593;1;6;9.36
0;593;2;9;0
0;593;3;28;7.31
0;593;4;39;39.18
0;600;2;1;311.5
0;600;3;3;64.72
0;600;4;22;136.69
0;601;1;4;0
0;601;2;11;0
0;601;3;26;0
0;601;4;23;12.35
0;602;1;14;0
0;602;2;42;14.08
0;602;3;56;12.24
0;602;4;27;16.34
0;603;1;47;2.78
0;603;2;57;3.32
0;603;3;41;3.7
0;603;4;5;13.43
0;610;2;2;400.24
0;610;3;4;364.16
0;610;4;4;145.74
0;611;1;8;0
0;611;2;11;0
0;611;3;29;1.7
0;611;4;22;5.17
0;612;1;39;1.26
0;612;2;35;3.25
0;612;3;44;7.44
0;612;4;10;34.09
0;613;1;8;0
0;613;2;14;3.41
0;613;3;14;0
0;613;4;6;9.47
0;614;1;138;0.17
0;614;2;84;0
0;614;3;40;3.2
0;614;4;2;0
0;620;2;4;140.2
0;620;3;6;110.71
0;620;4;10;257.87
0;621;1;23;0
0;621;2;19;0
0;621;3;19;0
0;621;4;16;0
0;622;1;39;10.08
0;622;2;40;7.74
0;622;3;18;6.31
0;622;4;11;36.16
0;623;1;19;0
0;623;2;17;0
0;623;3;9;0
0;623;4;1;0
0;624;1;99;0
0;624;2;73;0.78
0;624;3;15;7.53
0;624;4;2;0
0;625;1;56;0
0;625;2;29;0
0;625;3;18;3.16
0;625;4;1;0
0;626;1;60;0.95
0;626;2;80;0.3
0;626;3;56;0
0;626;4;1;0
0;630;2;11;424.53
0;630;3;20;833.54
0;630;4;34;952.21
0;631;1;7;0
0;631;2;28;69.42
0;631;3;28;127.11
0;631;4;29;197.73
0;632;1;167;0.14
0;632;2;26;87.8
0;632;3;23;149.73
0;632;4;11;220.31
0;633;1;87;3.3
0;633;2;117;4.48
0;633;3;84;2.03
0;633;4;50;6.82
0;634;1;84;7.35
0;634;2;90;10.55
0;634;3;49;3.14
0;634;4;18;10.8
0;635;1;28;0
0;635;2;18;3.16
0;635;3;16;0
0;635;4;5;0
0;636;1;132;0
0;636;2;153;0
0;636;3;55;0.87
0;636;4;16;0
0;637;1;676;0.17
0;637;2;318;1.24
0;637;3;140;0.81
0;637;4;19;0
0;638;1;1068;0.11
0;638;2;303;0.05
0;638;3;39;0
0;638;4;3;0
0;639;1;91;0
0;639;2;80;3.83
0;639;3;37;1.54
0;639;4;10;0
0;640;1;144;0.17
0;640;2;190;0
0;640;3;105;0
0;650;1;120;15.57
0;650;2;63;19.02
0;650;3;48;21.35
0;650;4;28;149.46
0;651;1;596;3.61
0;651;2;95;12.2
0;651;3;49;70.85
0;651;4;8;14.2
0;660;1;123;8
0;660;2;474;4.03
0;660;3;463;12.78
0;660;4;86;13.26
0;661;1;782;1.09
0;661;2;314;1.02
0;661;3;233;3.8
0;661;4;27;6.34
0;662;1;52;0
0;662;2;48;0
0;662;3;29;34.19
0;662;4;3;0
0;663;1;1673;0.51
0;663;2;2918;0.84
0;663;3;2394;3.2
0;663;4;265;11.8
0;664;1;868;0.63
0;664;2;438;6.5
0;664;3;237;4.55
0;664;4;22;21.47
0;680;1;173;35.75
0;680;2;113;91.95
0;680;3;51;90.24
0;680;4;56;210.81
0;681;1;363;59.32
0;681;2;279;69.92
0;681;3;202;145.41
0;681;4;103;98.15
0;682;1;433;14.53
0;682;2;276;62.76
0;682;3;106;123.09
0;682;4;68;191.59
0;683;1;953;44.46
0;683;2;301;65.88
0;683;3;113;123.89
0;683;4;46;115.4
0;690;1;264;25.55
0;690;2;189;23.83
0;690;3;262;28.46
0;690;4;281;38.01
0;691;1;1395;26.83
0;691;2;1420;19.13
0;691;3;890;13.68
0;691;4;391;35.3
0;692;1;543;5.27
0;692;2;239;3.95
0;692;3;77;4.24
