vrai_hop;rdrg;SI;ntot;nfarm;Sum;p5;p25;p50;p75;p95
0;622;1;51;47;18952.21;7.16;23.16;82.68;505.49;1750.88
0;622;2;77;75;32512.93;3.6;33.12;102.76;553.33;1883.05
0;622;3;61;61;76043.15;46.04;147.8;1410.97;1785.6;2722.69
0;622;4;21;21;17833.4;51.24;161.49;397.75;1451.4;2234.61
0;623;1;16;14;305.68;1.28;7.56;15.36;27.92;100.28
0;623;2;15;15;782.72;1.76;6.08;15.16;98.2;213.84
0;623;3;7;7;7422.02;17.48;92.24;1509.12;1741.04;1806.24
0;623;4;2;2;1079.2;33.44;33.44;539.6;1045.76;1045.76
0;625;1;87;61;5349.39;1.72;4.24;21.08;96.6;321.96
0;625;2;69;58;7808.47;1.76;5.04;42.1;147.2;695.11
0;625;3;23;22;9717.46;19.36;75.24;170.51;596.8;1709.08
0;625;4;5;5;2802.96;94.76;271.2;543.36;868.88;1024.76
0;626;1;85;30;984.92;1.04;1.8;5.62;18.36;93.12
0;626;2;85;52;3614.48;1.52;3.94;9.56;21.98;300.48
0;626;3;111;85;8046.98;2.4;5.88;13.28;64.88;421.44
0;626;4;1;1;9.48;9.48;9.48;9.48;9.48;9.48
0;630;1;5;5;802.24;42.12;50.04;160.08;213.68;336.32
0;630;2;7;7;4018.81;141.08;225.8;448.52;1076.4;1173.69
0;630;3;23;23;15454.37;84.52;244.16;646.37;1072.05;1223.15
0;630;4;59;59;90410.71;152.08;757.04;1144.25;1917.56;4433.91
0;631;1;4;2;175.92;84.48;84.48;87.96;91.44;91.44
0;631;2;33;32;10033.14;21.72;68.84;163.2;336.44;1218.49
0;631;3;30;30;25122.78;66.08;216.72;423.85;925.72;2695.68
0;631;4;34;34;55822.06;277.28;476.36;1060.37;1795.61;6724.08
0;633;1;82;46;3262.94;1.52;4.16;23.38;100.28;209.12
0;633;2;92;74;10051.97;4.88;21.56;67.18;148.68;461.68
0;633;3;111;105;50811.02;7.76;60.64;148.08;399.2;2127.12
0;633;4;68;67;66069.84;11.56;176.92;428.24;1328.08;3381.72
0;634;1;63;53;5177.12;2.12;9.16;20.12;49.44;230.44
0;634;2;123;115;60504.47;3.28;13.16;54.6;155.84;2352.93
0;634;3;137;135;105925.2;8.68;48.52;155.44;1644.52;2730.21
0;634;4;78;77;98044.19;76.36;236.64;462.2;2359.08;4339.75
0;636;1;96;84;2957.63;2.2;10.44;22.76;46.2;118.56
0;636;2;67;65;7684.93;2.76;15.32;32.52;91.96;636.16
0;636;3;34;33;6895.18;8.08;43.44;83.04;155.68;1323
0;636;4;2;2;12428.56;361.08;361.08;6214.28;12067.48;12067.48
0;639;1;305;169;9146.94;1.28;4.4;17.44;47.16;216.52
0;639;2;125;107;11361.51;1.4;6.64;26.12;78.08;402.36
0;639;3;47;42;9782.38;4.44;21.2;45.12;133.52;1171.7
0;639;4;13;13;4914.28;5.44;63.88;183.86;656;1454.49
0;640;1;674;108;2048.28;0.04;1.28;2.94;13.06;89.76
0;640;2;493;158;4335.17;0.24;2.6;7.48;32.32;108.72
0;640;3;225;148;15101.14;1.44;4.38;12.76;30.44;255.14
0;650;1;91;91;41412.1;41.88;79.8;133;313.48;2304.26
0;650;2;55;55;39818.9;48.12;129.76;253;472.22;6462.77
0;650;3;28;28;29128.22;258.44;354.99;673.84;1228.75;3311.79
0;650;4;21;20;51249.52;232.4;593.02;1251.74;2879.35;10482.39
0;651;1;601;596;43604.28;12.88;25.76;38.84;72.23;221.16
0;651;2;122;122;36092.24;16.36;55.91;118.65;260.56;1006.24
0;651;3;65;65;44790.7;20.6;96.56;273.11;615.26;2773.78
0;651;4;26;26;141669.68;82.64;413.35;1837.82;4733.12;19698.32
0;660;1;414;375;151849.89;3.68;26.52;84.4;294.8;1453.36
0;660;2;1804;1776;1023423.18;7.84;90.85;243.79;545.55;2092.84
