vrai_hop;rdrg;SI;cat;NAB;totalEUR;p5;p25;p50;p75;p95
0;138;2;157;127;955.3;1.7;4.3;6;9;14.3
0;138;3;55;53;452;2;4.6;6.9;11.3;21.3
0;138;4;19;19;276.1;2.4;5;7.7;20.2;76
0;139;1;9252;8759;67789.1;1.7;3.7;6.4;10;18.4
0;139;2;12227;11742;124637.4;2.3;5.7;8.8;13;25.1
0;139;3;9819;9536;135100.9;3;7.4;11.1;17.4;34.9
0;139;4;3932;3850;81630;2;8.5;14.9;26;60.1
0;140;1;3421;1790;14571.5;1.3;4.6;7;10;18.3
0;140;2;9053;5992;63483.7;2;5.7;8.6;12.5;26
0;140;3;9109;7056;96708.5;2.3;6.9;10.3;16.5;36.2
0;140;4;2860;2614;59972.7;2.5;8.9;15.4;29;65.1
0;141;1;7220;2241;12925.8;1.1;3.1;4.6;7.7;12.3
0;141;2;3971;1890;13857.7;1.1;4;6;9.1;17
0;141;3;1594;889;7938.1;2;4.6;6.9;10;24
0;141;4;148;121;1823.6;1.7;5;8.9;17.3;52.5
0;142;1;207;68;653.1;0.8;4.3;7.3;12;28.5
0;142;2;602;227;2483.3;0.6;3.5;8.9;15.4;27.5
0;142;3;425;251;3975.8;1;6.9;12;20.1;38.5
0;142;4;145;116;3173;2;9.8;15.4;37.1;83.7
0;143;1;971;112;536.2;0.3;1.1;4;7;12.9
0;143;2;1627;539;4078.1;0.6;2.9;6;9.7;20.4
0;143;3;786;395;4534.2;1;4.9;9;15.1;30.3
0;143;4;214;165;3339.6;1;6;11.9;24.5;61.2
0;144;1;10299;2777;17215.3;0.9;2.9;4.9;8;14.4
0;144;2;10492;4890;41422.5;1.1;4.1;7;10.5;20.5
0;144;3;4377;3165;37457.7;1.5;5.4;9;14.4;31.8
0;144;4;782;683;12869.8;1.4;6.9;12.6;24.3;53
0;160;1;3;3;19.9;1.6;1.6;8.3;10;10
0;160;2;13;13;40.9;1.6;2;2.4;2.8;11.1
0;160;3;34;33;95.3;1.1;1.6;2.3;3.2;8.6
0;160;4;70;70;807.6;1.2;1.6;6;14.6;51.3
0;161;1;250;225;212.3;0.4;0.4;0.8;0.8;1.6
0;161;2;493;455;635.4;0.4;0.4;0.8;1.2;4.6
0;161;3;527;476;1340.2;0.4;0.4;0.8;1.6;11
0;161;4;103;101;2032.1;0.4;6.7;12.4;22.4;63.1
0;162;1;51;50;274.7;1.6;1.9;2.4;4;11.1
0;162;2;133;130;972.4;1.3;2;3.2;5.4;20.8
0;162;3;327;326;3903.6;1;2.4;4.4;11.1;31.8
0;162;4;312;311;9926.5;2;5.9;14.4;32.9;140.1
0;163;1;422;419;1331.4;1;1.9;2.4;3.2;8.7
0;163;2;948;935;4230.6;1;1.9;2.7;4.1;12.5
0;163;3;1348;1330;11132.2;1;2.4;3.2;7.7;25
0;163;4;710;708;20666.7;1.6;3.4;11.8;27.9;138.8
0;165;1;98;98;362.1;1;2;3.2;4;8.5
0;165;2;805;799;3093.5;0.8;1.6;2.8;4.1;12.3
0;165;3;828;820;5809.4;1;2;3.8;9;19.9
