vrai_hop;rdrg;SI;total;p5;p25;p50;p75;p95
0;163;4;773900;366.77;739.79;1338.53;2480.35;6797.67
0;165;1;3238;186.52;208.14;426.75;502.02;777.16
0;165;2;321874;238.08;356.16;480.88;678.95;1235.55
0;165;3;268688;273.8;479.75;678.42;1014.84;1971.68
0;165;4;252423;425.4;882.05;1371.16;2428.97;5046.7
0;166;1;259423;174;236.71;345.36;475.43;746.42
0;166;2;919902;186.14;263.96;369.4;531.09;864.64
0;166;3;872528;205.03;343.52;486.71;694.42;1396.67
0;166;4;430985;309.8;610.51;1107.23;2081.06;5007.18
0;167;1;180668;18.3;53.52;87.66;121.12;264.16
0;167;2;264748;29.64;84.12;143.86;303.23;702.98
0;167;3;314553;56.6;154.36;323.56;558.28;1474.67
0;167;4;530705;141.11;663.56;1297.76;2536.45;6207.25
0;169;1;112038;40.64;73.52;129.64;208.35;506.04
0;169;2;321969;61.08;118.36;194.6;326.76;854.71
0;169;3;368969;109.72;251.04;415.67;858.96;2154.56
0;169;4;779659;282.16;826.4;1671.99;3512.6;7937.62
0;170;1;2804;13.08;30.44;53.26;97.6;403.89
0;170;2;19067;14.6;51.92;82.6;140.48;300.16
0;170;3;23525;37.32;89.46;198.28;344.06;869.04
0;170;4;21967;151;444.2;556.6;1148.48;3338.89
